编号,诗名称,作者,诗类型,链接
167,积雨辋川庄作,王维,七言律诗,https://so.gushiwen.cn/shiwenv_61ac7e419655.aspx
168,望月有感,白居易,七言律诗,https://so.gushiwen.cn/shiwenv_5dfc1bd59fed.aspx
169,奉和中书舍人贾至早朝,岑参,七言律诗,https://so.gushiwen.cn/shiwenv_e434c47819cc.aspx
170,登金陵凤凰台,李白,七言律诗,https://so.gushiwen.cn/shiwenv_8820c89ca4e5.aspx
171,无题·重帏深下莫愁堂,李商隐,七言律诗,https://so.gushiwen.cn/shiwenv_cad3c6bebe91.aspx
172,无题·凤尾香罗薄几重,李商隐,七言律诗,https://so.gushiwen.cn/shiwenv_2d27cb0ecae4.aspx
173,无题·相见时难别亦难,李商隐,七言律诗,https://so.gushiwen.cn/shiwenv_1a4c484f9364.aspx
174,无题·来是空言去绝踪,李商隐,七言律诗,https://so.gushiwen.cn/shiwenv_f3143cabad12.aspx
175,无题·飒飒东风细雨来,李商隐,七言律诗,https://so.gushiwen.cn/shiwenv_ebdbde03b7f9.aspx
176,无题·昨夜星辰昨夜风,李商隐,七言律诗,https://so.gushiwen.cn/shiwenv_05c6c4ccf634.aspx
177,春雨,李商隐,七言律诗,https://so.gushiwen.cn/shiwenv_9ae72ef063c3.aspx
178,筹笔驿,李商隐,七言律诗,https://so.gushiwen.cn/shiwenv_1c83ec8bc760.aspx
179,锦瑟,李商隐,七言律诗,https://so.gushiwen.cn/shiwenv_1921957e6e83.aspx
180,隋宫,李商隐,七言律诗,https://so.gushiwen.cn/shiwenv_09fd71c77ec7.aspx
181,送魏万之京,李颀,七言律诗,https://so.gushiwen.cn/shiwenv_67ca0b01f1c4.aspx
182,咏怀古迹·其一,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_d87229be0d7a.aspx
183,咏怀古迹·其二,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_37b5405144f1.aspx
184,咏怀古迹·其三,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_1cc0aae7f75d.aspx
185,咏怀古迹·其四,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_66eebf9f4ab8.aspx
186,咏怀古迹·其五,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_70e98eb5d973.aspx
187,宿府,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_a4575e93ff63.aspx
188,阁夜,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_f36d338e1fc5.aspx
189,闻官军收河南河北,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_519029b7355c.aspx
190,登高,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_eeb217f8cb2d.aspx
191,登楼,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_f635f8f8edb7.aspx
192,蜀相,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_625762a4b089.aspx
193,客至,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_2dfd92e6cd5b.aspx
194,野望,杜甫,七言律诗,https://so.gushiwen.cn/shiwenv_c14aa77a50e5.aspx
195,登柳州城楼寄漳汀封连四州,皇甫冉,七言律诗,https://so.gushiwen.cn/shiwenv_c07738629b7d.aspx
196,寄李儋元锡,韦应物,七言律诗,https://so.gushiwen.cn/shiwenv_98475ddd5a1a.aspx
197,望蓟门,祖咏,七言律诗,https://so.gushiwen.cn/shiwenv_0e1671eb861a.aspx
198,贫女,秦韬玉,七言律诗,https://so.gushiwen.cn/shiwenv_440bd7ab651d.aspx
199,送李少府贬峡中王少府贬,高适,七言律诗,https://so.gushiwen.cn/shiwenv_e7f783986fc1.aspx
200,九日登望仙台呈刘明府,崔曙,七言律诗,https://so.gushiwen.cn/shiwenv_8da574e2c837.aspx
201,登黄鹤楼,崔颢,七言律诗,https://so.gushiwen.cn/shiwenv_b0d3f72465ef.aspx
202,行经华阴,崔颢,七言律诗,https://so.gushiwen.cn/shiwenv_0c4f19716bfe.aspx
203,利州南渡,温庭筠,七言律诗,https://so.gushiwen.cn/shiwenv_3f759a5f4d7a.aspx
204,苏武庙,温庭筠,七言律诗,https://so.gushiwen.cn/shiwenv_52ca6ca57b11.aspx
205,江州重别薛六柳,刘长卿,七言律诗,https://so.gushiwen.cn/shiwenv_dea6fe3c2c99.aspx
206,长沙过贾谊宅,刘长卿,七言律诗,https://so.gushiwen.cn/shiwenv_a9a0b6b0eede.aspx
207,自夏口至鹦鹉洲夕望岳阳,刘长卿,七言律诗,https://so.gushiwen.cn/shiwenv_e4f3664b14eb.aspx
208,西塞山怀古,刘禹锡,七言律诗,https://so.gushiwen.cn/shiwenv_1abc932ae63c.aspx
209,晚次鄂州,卢纶,七言律诗,https://so.gushiwen.cn/shiwenv_b108020809b7.aspx
210,赠阙下裴舍人,钱起,七言律诗,https://so.gushiwen.cn/shiwenv_f210718ad962.aspx
211,宫词,薛逢,七言律诗,https://so.gushiwen.cn/shiwenv_840afd01d58c.aspx
212,同题仙游观,韩翃,七言律诗,https://so.gushiwen.cn/shiwenv_6022ecefe281.aspx
213,贼退示官吏,元结,五言古诗,https://so.gushiwen.cn/shiwenv_b0dc7d922c3d.aspx
214,同从弟销南斋玩月忆山阴,王维,五言古诗,https://so.gushiwen.cn/shiwenv_c6f492aeb6d7.aspx
215,西施咏,王维,五言古诗,https://so.gushiwen.cn/shiwenv_f73dd1f66af4.aspx
216,送别,王维,五言古诗,https://so.gushiwen.cn/shiwenv_dc090c40cab3.aspx
217,送綦毋潜落第还乡,王维,五言古诗,https://so.gushiwen.cn/shiwenv_dfa0d65184ac.aspx
218,青溪,王维,五言古诗,https://so.gushiwen.cn/shiwenv_3ca53d3dfb52.aspx
